"relative href","rounded-lg src","flex-shrink","truncate","text-primary","text-primary href"
"https://lovable.dev/projects/ffa36089-98d8-448b-af53-af637779e4f8","https://lovable.dev/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fgpt-engineer-screenshots%2Fid-preview-26e9ce29--ffa36089-98d8-448b-af53-af637779e4f8.lovable.app-1734051863737.png&w=3840&q=75","aiftw-landing-journey","Edited","3 months ago",""
"https://lovable.dev/projects/9038b371-6dbf-4da7-913d-05b35e78c539","https://lovable.dev/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fgpt-engineer-screenshots%2Fid-preview-09904481--9038b371-6dbf-4da7-913d-05b35e78c539.lovable.app-1741362985757.png&w=3840&q=75","augmend","by","@HHBisPOo1XUj5cUuvWGeo3bBpe83","https://lovable.dev/@HHBisPOo1XUj5cUuvWGeo3bBpe83"
"https://lovable.dev/projects/2bd7117a-b57f-4954-92d1-c5b88c3c1195","https://lovable.dev/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fgpt-engineer-screenshots%2Fid-preview-ab72e1fa--2bd7117a-b57f-4954-92d1-c5b88c3c1195.lovable.app-1741343159007.png&w=3840&q=75","capacity-allocator","by","@xmFTPbICuEVupj5KwZB9bfaaQ9b2","https://lovable.dev/@xmFTPbICuEVupj5KwZB9bfaaQ9b2"
"https://lovable.dev/projects/513db1a2-0fcc-4643-bd43-f10d076dfa80","https://lovable.dev/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fgpt-engineer-screenshots%2Fid-preview-f8722f81--513db1a2-0fcc-4643-bd43-f10d076dfa80.lovable.app-1741335989993.png&w=3840&q=75","cortex-second-brain","by","@NbgJX23vE7OqDkj8AyNQafhECC23","https://lovable.dev/@NbgJX23vE7OqDkj8AyNQafhECC23"
"https://lovable.dev/projects/93cad165-50cd-4414-a8a0-a2bc80e3c0d4","https://lovable.dev/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fgpt-engineer-screenshots%2Fid-preview-959b26d6--93cad165-50cd-4414-a8a0-a2bc80e3c0d4.lovable.app-1741043441648.png&w=3840&q=75","benchcraft","by","@empenini","https://lovable.dev/@empenini"
"https://lovable.dev/projects/4b043dc7-4365-4c96-b875-11bd9694b03e","https://lovable.dev/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fgpt-engineer-screenshots%2Fid-preview-6d237a9d--4b043dc7-4365-4c96-b875-11bd9694b03e.lovable.app-1741200095134.png&w=3840&q=75","chef-cuistot-ia","by","@ta4wxM8mnJRyRzEQWOvrPGYxmEK2","https://lovable.dev/@ta4wxM8mnJRyRzEQWOvrPGYxmEK2"
"https://lovable.dev/projects/35d72d2e-6e25-40e5-9b0c-c0d1a7c1b727","https://lovable.dev/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fgpt-engineer-screenshots%2Fid-preview-d8e3dbd6--35d72d2e-6e25-40e5-9b0c-c0d1a7c1b727.lovable.app-1741182756689.png&w=3840&q=75","pulse-robot-landing","by","@rka","https://lovable.dev/@rka"
"https://lovable.dev/projects/4d9cc67a-9f34-4173-b9e1-cbaae86219ac","https://lovable.dev/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fgpt-engineer-screenshots%2Fid-preview--4d9cc67a-9f34-4173-b9e1-cbaae86219ac.lovable.app-1741091696668.png&w=3840&q=75","chainpulse-dashboard","by","@NbgJX23vE7OqDkj8AyNQafhECC23","https://lovable.dev/@NbgJX23vE7OqDkj8AyNQafhECC23"
"https://lovable.dev/projects/76875fc4-0220-4887-a166-283590c16080","https://lovable.dev/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fgpt-engineer-screenshots%2Fid-preview-96757ffb--76875fc4-0220-4887-a166-283590c16080.lovable.app-1740523785213.png&w=3840&q=75","collabnet-visualizer","by","@miDUvZa2QWYujZxPAuSv80FOaRU2","https://lovable.dev/@miDUvZa2QWYujZxPAuSv80FOaRU2"
"https://lovable.dev/projects/c5cf5748-744b-4868-b91f-755a72333fac","https://lovable.dev/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fgpt-engineer-screenshots%2Fid-preview-5fbc0118--c5cf5748-744b-4868-b91f-755a72333fac.lovable.app-1740730590363.png&w=3840&q=75","codebattle-dashboard-25","by","@NbgJX23vE7OqDkj8AyNQafhECC23","https://lovable.dev/@NbgJX23vE7OqDkj8AyNQafhECC23"
"https://lovable.dev/projects/32740053-d4a5-474d-90a4-a52ce5eabadc","https://lovable.dev/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fgpt-engineer-screenshots%2Fid-preview-f0ba8b0c--32740053-d4a5-474d-90a4-a52ce5eabadc.lovable.app-1740697790975.png&w=3840&q=75","lovable-product-grove","by","@squid","https://lovable.dev/@squid"
"https://lovable.dev/projects/241100ce-a346-4678-b8d0-5cda69c39536","https://lovable.dev/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fgpt-engineer-screenshots%2Fid-preview-5d6cdcaa--241100ce-a346-4678-b8d0-5cda69c39536.lovable.app-1740695204024.png&w=3840&q=75","sleek-navisphere-65-90-93","by","@Mf3QfNZkR3OVBiyKGzIVnAFgSjp1","https://lovable.dev/@Mf3QfNZkR3OVBiyKGzIVnAFgSjp1"
